English;German
fall (AE);Herbst
state;Staat, Bundesstaat, Land
to shine, shone, shone;scheinen, glänzen
bright;hell, leuchtend, strahlend
color (AE);Farbe
area;Fläche, Gegend, Gebiet, Areal
corn;Korn, Mais, Getreide
soy bean;Sojabohne
field;Feld, Wiese, Weide
surfer;Wellenreiter, Wellenreiterin, Surfer, Surferin
paradise;Paradies
perfect;perfekt, vollkommen
wave;Welle
North America;Nordamerika
landscape;Landschaft
American;amerikanisch, Amerikanisch, aus Amerika, Amerikaner, Amerikanerin
swamp;Sumpf
alligator;Alligator
rose;Rose
bald eagle;Weißkopfseeadler
population;Einwohner, Einwohnerzahl, Bevölkerung
total;Gesamt-, gesamt
square mile (= sq. mi.);Quadratmeile
currency;Währung
dollar;Dollar (amer. Währungseinheit)
time zone;Zeitzone
major;Haupt-, wichtig, bedeutend
to name;benennen
north of;nördlich von
south of;südlich von
ocean;Ozean, Meer
east of;östlich von
west of;westlich von
distance;Entfernung, Distanz
gateway;Tor, Eingangstor
over;über
borough;Stadtteil, Bezirk
skyline;Skyline
to replace;ersetzen
attack;Angriff, Attacke
baseball;Baseball
New Yorker;New Yorker, New Yorkerin
center (AE);Zentrum, Mitte, Center
theater (AE);Theater
cultural movement;Kulturbewegung
independence;Unabhängigkeit
immigrant;Immigrant, Immigrantin, Einwanderer, Einwandererin
symbol;Symbol
hope;Hoffnung
billion;Milliarde
event;Ereignis, Veranstaltung
on TV;im Fernsehen
elevator (AE);Aufzug, Lift
to produce;herstellen, produzieren, anbauen, erzeugen, verursachen
light;Licht
top;Spitze, oberer Teil, oberes Ende
grounds (pl);Gebiet, Gelände
traffic jam;Stau
rush hour;Hauptverkehrszeit
roadwork (AE);Straßenbauarbeiten
landmark;Wahrzeichen
skyscraper;Wolkenkratzer
story (AE);Stock, Stockwerk, Etage
subway (AE);U-Bahn
avenue;Allee, Boulevard
lights;Ampel
parking lot (AE);Parkplatz
commuter;Pendler, Pendlerin
construction site;Baustelle
suburb;Vorort
ride;Fahrt, Ritt
traffic;Verkehr
snow;Schnee
to get into;hineinkommen, hineingelangen
anyway;jedenfalls, trotzdem, sowieso
look;Blick, Anblick, Sicht
financial;finanziell, Finanz-
view;Aussicht, Sicht, Ausblick, Blick
star sign;Sternzeichen
ceiling;Zimmerdecke
around;um ... herum
hot dog;Hot Dog (Würstchen im Brötchen)
cart;hier: Stand
to belong (to);gehören (zu)
to make sure;sich versichern
right ahead;geradeaus
decision;Entscheidung
foreign;fremd, ausländisch
community;Gemeinde, Gemeinschaft
career;Beruf, Laufbahn, Karriere
motivated;motiviert
opportunity;Gelegenheit, Chance
citizen;Staatsbürger, Staatsbürgerin, Staatsangehöriger, Staatsangehörige
to emigrate;auswandern, emigrieren
visa;Visum, Einreisebewilligung
to get used to (sth);sich an (etw.) gewöhnen
to succeed (in);Erfolg haben (mit/bei), nachfolgen
to fail (at);versagen (in/bei), ausfallen, fehlschlagen
support;Unterstützung, Hilfe
papers (pl);Unterlagen, Papiere
interviewer;Interviewer, Interviewerin, Befrager, Befragerin
Cuba;Kuba
poor;arm
future;Zukunft
to take sth seriously;etw. ernst nehmen
high school;Highschool (weiterführende Schule, Oberstufe)
example;Beispiel
US;US-amerikanisch
college;College, Institut
Mexico;Mexiko
Cuban;kubanisch, aus Kuba, Kubaner, Kubanerin
reader;Leser, Leserin
immigration;Immigration, Zuwanderung
to save;sparen
statistics (no pl);Statistik
the rest;der Rest
condition;Bedingung, Zustand
crowded;überfüllt
little;wenig, kaum
air;Luft
majority;Mehrheit, Mehrzahl
harbor (AE);Hafen
powerful;stark, mächtig, bedeutend, beeindruckend
future;zukünftig
check;Kontrolle
disease;Krankheit
percent (%);Prozent
to return;zurückkehren, zurückgeben
minority;Minderheit
Scandinavia;Skandinavien
Greece;Griechenland
Eastern Europe;Osteuropa
Russia;Russland
religious;religiös, gläubig
political;politisch
freedom (no pl);Freiheit, Unabhängigkeit
to escape;entkommen, fliehen, entfliehen, flüchten
poverty;Armut
China;China
The Dominican Republic;Dominikanische Republik
Vietnam;Vietnam
few;wenige
once;einst, einmal
honor (AE);Ehre
great-grandparents;Urgroßeltern
inside;innen, drinnen
ethnic;ethnisch, Volks-
