English;German
forest;Wald
flight;Flug
celebration;Feier
Thanksgiving;Erntedankfest
everybody;jeder, alle
turkey;Truthahn, Pute
to pardon;begnadigen, entschuldigen, verzeihen
creepy;gruselig
mystery story;Krimi (= Kriminalgeschichte), Detektivgeschichte
land of the free;Land der Freien
the Amish;die Amischen
Christian;christlich
daredevil;Draufgänger, Draufgängerin
barrel;Fass, Tonne
to sign autographs;Autogramme geben
What's up?;Wie geht's?
How's it going?;Wie geht's?, Wie läuft's?
How are you doing?;Wie geht's dir?
What have you been up to?;Was hast du (in letzter Zeit) gemacht?, Wie läuft's bei dir?
to get ready;sich vorbereiten, sich fertig machen
husband;Ehemann
teenage;jugendlich
to get stuck;stecken bleiben
doorbell;Türklingel
neighbor (AE);Nachbar, Nachbarin
freezing;eiskalt, gefrierend
glad;froh
to make it;es schaffen
to enter;hineingehen, hereinkommen, betreten, eintreten
Have a seat.;Setzen Sie sich., Setz dich.
across;über, hinüber, herüber, quer durch
used to (+ infinitive);pflegte(n) zu, tat(en) früher
chocolate;Praline
video;Video
thankful;dankbar
boyfriend;Freund (in einer Paarbeziehung)
engine;Motor
to land;landen
Easter;Ostern
bored;gelangweilt
stress;Stress
Exactly.;Genau.
Absolutely not.;Ganz und gar nicht., Auf keinen Fall!
I guess ...;Ich nehme an, dass ...
I'm convinced that ...;Ich bin überzeugt, dass ...
It's clear to me that ...;Mir ist klar, dass ...
I doubt that ...;Ich bezweifle, dass ...
device;Gerät, Vorrichtung
hair straightener;Haarglätter
fan;Ventilator
dishwasher;Spülmaschine
vacuum cleaner;Staubsauger
razor;Rasierer, Rasierapparat
Amish;amisch
to lead, led, led;führen, anführen
to concentrate;(sich) konzentrieren
to cover;bedecken, abdecken
make-up;Make-up, Schminke
to grow, grew, grown;anbauen, züchten, ziehen, wachsen
contact;Kontakt
forbidden;verboten
alcohol (no pl);Alkohol
really;wirklich
to regret;bedauern
pretty;ziemlich
average;durchschnittlich
fashion (no pl);Mode
gossip;Klatsch, Tratsch, Gerede
mostly;meistens, hauptsächlich
to go out with;(aus)gehen mit
whom;wem, wen
to hang out (with);rumhängen (mit), sich treffen (mit), sich herumtreiben (mit)
bowling;Bowlen
electric;elektrisch
superhero (sg), superheroes (pl);Superheld
before;vor
test;Test, Klassenarbeit, Prüfung
body;Leiche
to disappear;verschwinden
gun;Schusswaffe
floor;Stockwerk, Etage
thought;Gedanke
to roll up;zusammenrollen, aufrollen, aufkrempeln
blanket;Decke, Bettdecke, Wolldecke
to tie;binden, zubinden, fesseln
belt;Gürtel
back;Hinter-
to avoid;vermeiden, meiden, aus dem Weg gehen, ausweichen
towards;in Richtung, auf ... zu
clubhouse;Klubhaus, Vereinsheim
to catch up with;einholen
to point;zeigen
smell;Geruch, Gestank, Duft
to puke;erbrechen, sich übergeben
backpack;Rucksack
desk;Schreibtisch
to beat, beat, beaten;schlagen, verprügeln, prügeln
bullet;Kugel, Geschoss
sat;simple past, past participle von to sit (sitzen)
tin;Dose, Büchse, hier: Mülleimer
to jump;springen
to shoot (at), shot (at), shot (at);schießen (auf)
wrist;Handgelenk
heart;Herz
to scream;schreien, kreischen
to shut up;die Klappe halten
to reach;erreichen
it's a pity;(es ist) schade
honestly;ehrlich
drunk;betrunken
innocent;unschuldig
laugh;Lachen
to put up;aufstellen, errichten
to turn on;einschalten
to grin;grinsen
to gather;(sich) sammeln
railway track;Gleis
at least;mindestens, wenigstens
to seem;scheinen
pecan;Pekannuss
pardon;Begnadigung, Entschuldigung, Verzeihung
to control;kontrollieren
out;aus, draußen, außerhalb
annoying;ärgerlich, lästig
to describe;beschreiben
to deal (with), dealt (with), dealt (with);sich befassen (mit), umgehen (mit)
to sum up;zusammenfassen
in general;allgemein, generell
