English;German
southern;südlich
the outdoors;die freie Natur
African American;Afroamerikaner, Afroamerikanerin
right;Recht
discrimination;Diskriminierung
civil rights (pl);Bürgerrechte
peaceful;friedlich
protest;Protest, Demonstration
to force;zwingen
government;Regierung
law;Gesetz, Recht
African;afrikanisch, aus Afrika, Afrikaner, Afrikanerin
plantation;Plantage
region;Region, Gegend
culture;Kultur
custom;Brauch, Sitte
Southerner;Südstaatler, Südstaatlerin
copy;Exemplar
best-paid;bestbezahlt
celebrity;Prominenter, Prominente, berühmte Person
to release;veröffentlichen, herausgeben, freigeben, freisetzen, loslassen
single;Single
Spanish;spanisch, Spanisch, aus Spanien
Chinese;chinesisch, Chinesisch, aus China, Chinese, Chinesin
Greek;griechisch, Griechisch, aus Griechenland
Italian;italienisch, Italienisch, aus Italien, Italiener, Italienerin
Russian;russisch, Russisch, aus Russland, Russe, Russin
Polish;polnisch, Polnisch, aus Polen
Turkish;türkisch, Türkisch, aus der Türkei
Japanese;japanisch, Japanisch, aus Japan, Japaner, Japanerin
to tolerate;tolerieren, dulden
solution;Lösung
to accept;akzeptieren, annehmen, hinnehmen
to ban;verbannen, verbieten, sperren
to appreciate;schätzen, anerkennen, würdigen
to reject;zurückweisen, ablehnen
to resent;übelnehmen, verübeln
down there;dahin, da unten
West Africa;Westafrika
influence;Einfluss
to introduce;einführen, vorstellen, einleiten
flour;Mehl
to mix;mischen, vermischen, mixen
to cover in flour;in Mehl wenden
to fry;braten, frittieren
oil;Öl
to found;gründen
the French;die Franzosen
multicultural;multikulturell
carnival;Karneval, Fasching
historic;historisch
racism;Rassismus
State House (AE);Regierungsgebäude
a number of;einige, mehrere
killing;Tötung, Ermordung
state government;Landesregierung
paella;Paella
sushi;Sushi
nothing;nichts
society;Gesellschaft
grid;Gitter, Raster
to complete;fertigstellen, vervollständigen
African-American;afroamerikanisch
I didn't get that.;Ich habe es nicht verstanden.
I didn't catch that.;Das habe ich nicht verstanden., Das habe ich nicht gehört.
to explain;erklären
I know what you mean.;Ich verstehe, was du meinst.
I see.;Ich verstehe.
Absolutely!;Auf jeden Fall!
package;Paket
excellent;exzellent, hervorragend
choice;Auswahl, Wahl
transfer;Transport, Transfer
track;Strecke
booklet;Broschüre, Heft
detail;Detail, Einzelheit
airboat;Propellerboot
wildlife;Tierwelt (in freier Wildbahn)
show;Show, Schau, Aufführung
pick-up;Abholung, Pick-up
degree;Grad
turn;Drehung
jungle;Dschungel
trail;Wanderweg, Spur
seat;Sitzplatz, Platz
the wild;Wildnis, freie Wildbahn
heat;Hitze
speech impaired;sprachbehindert
to translate;übersetzen
outnumbered;in der Unterzahl
trainer;Trainer, Trainerin
to feel sick;Übelkeit verspüren, sich schlecht fühlen
vacation (AE);Ferien, Urlaub
fishing;Angeln, Fischen
to count;zählen
opening times;Öffnungszeiten
segregation;Rassentrennung, Trennung
segregated;getrennt
separate;getrennt, separat, verschieden
movie theater (AE);Kino
at the back;hinten, am Ende, im hinteren Teil
full;voll
to refuse;sich weigern, ablehnen
to drag;schleppen, schleifen, ziehen
off;von ... weg
to arrest;festnehmen, verhaften
courage;Mut, Tapferkeit, Courage
action;Handlung, Action
court case;Gerichtsverhandlung, Rechtsfall
to link;verbinden
role;Rolle
to abolish;abschaffen
system;System
reliable;verlässlich, zuverlässig, vertrauenswürdig
to trust;vertrauen
experience;Erfahrung
feature story;Leitartikel, Sonderbericht
stall;Stand, Bude
line;Schlange
saleswoman;Verkäuferin
emotion;Gefühl, Emotion
